discount,discounted_price,name,original_price,product_id,product_info,product_url,total_reviews
36,36.99,Rivet Long Sleeve Drawstring Hoodie,58.07,8172475,Clothes Type:Hoodie;Occasion:Daily;Style:Fashion;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Solid;Season:Fall;Weight:0.9240kg;Package Contents:1 x Hoodie;,https://www.dresslily.com/rivet-long-sleeve-drawstring-hoodie-product8172475.html,24
0,0.0,Wolf Print Kangaroo Pocket Casual Hoodie,22.99,8160041,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Animal;Season:Fall,Spring,Winter;Weight:0.5500kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/halloween-wolf-print-long-sleeves-product8160041.html,52
37,32.99,Side Lace Up Fleece Gothic Hoodie,52.78,8230655,"Clothes Type:Hoodie Jacket;Occasion:Daily;Style:Gothic;Fit Type:Regular;Shirt Length:Long;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Thick;Patterns:Solid;Season:Fall,Spring,Winter;Weight:0.7500kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/side-lace-up-fleece-gothic-product8230655.html,19
34,19.99,Colorblock Splicing Faux Fur Fluffy Hoodie,30.35,8250278,"Clothes Type:Hoodies;Style:Fashion;Pattern Type:Colorblock;Material:Polyester;Fabric Stretch:Slight Stretch;Shirt Length:Regular;Sleeve Length:Full;Season:Fall,Spring,Winter;Weight:0.4000kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/colorblock-splicing-faux-fur-fluffy-product8250278.html,0
39,22.99,Pouch Pocket Patch Detail Fluffy Hoodie,37.79,8250265,"Clothes Type:Hoodies;Style:Fashion;Pattern Type:Patchwork,Solid;Material:Polyester;Fabric Stretch:Slight Stretch;Shirt Length:Regular;Sleeve Length:Full;Season:Fall,Winter;Weight:0.5300kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/pouch-pocket-patch-detail-fluffy-product8250265.html,0
32,39.99,Faux Leather Insert Button Up Gothic Hoodie,58.49,8191539,"Clothes Type:Hoodie;Occasion:Halloween,Night Out;Style:Gothic;Fit Type:Regular;Sleeve Length:Full;Material:Cotton,Polyester,Polyurethane;Thickness:Regular;Patterns:Solid;Season:Fall,Spring;Weight:0.7800kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/faux-leather-insert-button-up-product8191539.html,19
36,22.99,Hooded 3D Skull Print Trippy Hoodie,36.17,2878368,"Clothes Type:Hoodie;Occasion:Daily Use,Going Out;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:Skulls;Season:Fall,Spring;Weight:0.5760kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/hooded-3d-skull-print-trippy-product2878368.html,15
0,0.0,Raglan Sleeve Grid Pattern Hoodie,32.99,8376726,"Clothes Type:Hoodies;Style:Casual;Pattern Type:Geometric;Material:Polyester;Fabric Stretch:Slight Stretch;Shirt Length:Regular;Sleeve Length:Full;Season:Fall,Winter;Weight:0.7800kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/raglan-sleeve-grid-pattern-hoodie-product8376726.html,0
53,19.99,Christmas Tree Jingle Bells Santa Christmas Hoodie,42.1,2251060,"Clothes Type:Hoodie;Occasion:Daily Use,Going Out,Sports;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Cartoon,Print;Weight:0.5510kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/christmas-tree-jingle-bells-santa-christmas-hoodie-product2251060.html,8
30,24.99,Aurora Color Print Pocket Hoodie,35.63,8325605,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Print;Season:Fall,Spring,Winter;Weight:0.4900kg;Package Contents:1 x Hoodie;",https://www.dresslily.com/aurora-color-print-pocket-hoodie-product8325605.html,2
